package_id,package_name,sc_id,package_front_description,package_img_description,FAQ,segmentation_type_id
111,"Switchbox installation(15+ amp)",11,"Covers installation only. Switchbox/spare parts sources separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which ÿÿwill reflect in your invoice.","Will the elect...",11111
112,"Switch/socket replacement",11,"Covers replacement only. Socket/spare parts sourced separately",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11111
113,"AC switchbox installation",11,"Covers installation only. AC switchbox/spare parts sourced separately",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11111
114,"Switchboard installation",11,"Covers installation only. Switchboard/spare parts sources separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11111
115,"Switchboard/switchbox repair",11,"Covers repair only. Switchbox/spare parts sourced separately",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11111
116,"Modular retrofit smart switches",11,"Covers installation only.Smart switch/spare parts sources separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11111
117,"Smart Appliance Controller",11,"Covers installation of touch panel/smart plud.Spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11111
118,"Convertor retrofit Wi-Fi smart switches",11,"Covers installation only. Smart switches/spare parts sources separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11111
119,"Ceiling Fan Installation",11,"Covers installation only. Fan/spare parts sources separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11112
120,"Fan Uninstallation",11,"Covers uninstallation only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11112
121,"Decorative ceiling fan installation",11,"Covers installation only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11112
122,"Exhaust Fan installation",11,"Covers installation only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11112
123,"Wall Fan installation",11,"Covers installation only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11112
124,"Fan replacement",11,"Covers replacement only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11112
125,"Fan repair",11,"Covers replacement only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11112
126,"Ceiling fan regulator replacement",11,"Covers replacement only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11112
127,"Ceiling light installation",11,"Covers installation only. Light/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn?t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electri...",11113
