service_id,service_name,package_id,price,service_duration,warranty_id,segmentation_type_id
1111,Switchbox installation(15+ amp),111,239,30,NULL,11111
1112,Switch/socket replacement,112,49,10,NULL,11111
1113,AC switchbox installation,113,249,30,NULL,11111
1114,Switchboard installation,114,169,30,NULL,11111
1115,Switchboard/switchbox repair,115,79,30,NULL,11111
1116,Modular retrofit smart switches,116,119,15,NULL,11111
1117,Smart Appliance Controller,117,179,15,NULL,11111
1118,Convertor retrofit Wi-Fi smart switches,118,179,15,NULL,11111
1119,Ceiling Fan Installation,119,89,30,NULL,11112
1120,Fan Uninstallation,120,69,30,NULL,11112
1121,Decorative ceiling fan installation,121,319,60,NULL,11112
1122,Exhaust Fan installation,122,99,10,NULL,11112
1123,Wall Fan installation,123,89,30,NULL,11112
1124,Fan replacement,124,149,60,NULL,11112
1125,Fan repair,125,109,30,NULL,11112
1126,Ceiling fan regulator replacement,126,49,30,NULL,11112
1127,Ceiling light installation,127,129,30,NULL,11113
1128,Tubelight installation/repair,128,69,30,NULL,11113
1129,Wall light installation,129,99,30,NULL,11113
1130,Bulb/CFL/LED installation (upto 5),130,69,90,NULL,11113
1131,Bulb/tubelight holder installation,131,69,20,NULL,11113
1132,Replace CFL to LED,132,129,20,NULL,11113
1133,"Lighting upto 10 meters wiring",133,159,30,NULL,11113
1134,"Lighting upto 15 meters wiring",133,209,30,NULL,11113
1135,"Lighting upto 5 meters wiring",133,89,30,NULL,11113
1136,Decorative lights uninstallation(per 20 m),134,99,30,NULL,11113
1137,Decorative lantern installation,135,99,30,NULL,11113
1138,"Up to 6 bulbs",136,549,60,NULL,11113
1139,"More than 6 bulbs",136,1099,90,NULL,11113
1140,New wiring without casing (per 5m),137,89,30,NULL,11114
1141,New wiring with casing (per 5m),138,209,60,NULL,11114
1142,New internal wiring (per 5m),139,159,60,NULL,11114
1143,Door bell replacement,140,79,30,NULL,11115
1144,Door bell installation,141,59,30,NULL,11115
1145,MCB fuse replacement,142,79,30,NULL,11116
1146,Sub meter installation,143,219,60,NULL,11116
1147,Double pole MCB installation,144,149,60,NULL,11116
1148,3 Phase changeover switch installation,145,249,30,NULL,11116
1149,Single pole MCB installation,146,99,60,NULL,11116
1150,Inverter fuse replacement,147,99,60,NULL,11117
1151,"Single battery inverter servicing",148,139,30,NULL,11117
1152,"Double battery inverter servicing New",148,309,30,NULL,11117
1153,"Single Battery",149,369,90,NULL,11117
1154,"Double Battery",149,449,90,NULL,11117
